NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red,°BRIX,Humedad,pH,IM,"Clase (R=0,A=1)"
845.6289999999999,230.55900000000003,211.574,127.719,106.249,55.804,314.15099999999995,412.851,661.456,801.144,403.137,235.022,7.1066538696132735,62.755290854956314,6.095152261712624,37.4722059809697,1
2446.6510000000003,566.687,162.95499999999998,99.291,172.785,92.023,359.636,534.391,1246.596,1618.984,1205.335,819.9889999999999,7.144842920595384,62.82945341593895,6.160657827558344,37.44707980176532,1
474.601,159.224,223.417,142.05599999999998,77.89500000000001,39.291,313.39,381.609,493.925,695.5310000000001,348.336,286.116,7.25581413636988,62.84538703577639,6.1263434141887645,37.45727144380834,1
1223.848,246.195,204.516,108.905,102.237,45.782,602.838,629.254,2048.8540000000003,2130.262,2223.324,1057.638,7.158267207477715,62.87866863294749,6.172601221016855,37.09119350922673,1
1578.754,443.028,242.00100000000003,148.852,148.186,80.179,550.388,562.895,1421.78,2012.788,1491.761,814.735,7.1705472069836365,62.78617050084507,6.203041956390675,37.062857112723584,1
3895.968,707.006,298.463,163.026,258.11,124.479,549.6279999999999,700.172,2809.687,2811.824,2659.456,1035.511,7.200560041551538,62.86129120565222,6.154275172763129,37.195393582684495,1
2950.132,729.795,336.575,201.232,240.003,126.302,577.92,619.107,1942.844,2489.714,2055.412,1080.161,7.145604080858149,62.90206986984738,6.152335666343888,36.90504416228747,1
3168.063,766.281,384.489,218.636,261.01300000000003,135.64100000000002,590.543,533.9359999999999,2018.245,2387.09,2248.543,983.064,7.28066008281898,62.71060774774259,6.131811311834716,36.65751193617496,1
2672.4700000000003,560.556,232.042,125.398,177.398,88.148,455.50200000000007,638.832,1885.71,2184.564,1976.436,1106.583,7.152635469591038,62.84709091504904,6.123890191396031,37.661061160716095,1
2467.761,671.8489999999999,266.546,157.142,198.666,108.991,617.42,821.484,1947.232,2714.824,2308.748,1587.451,7.190588836057827,62.99147430915012,6.105403664675471,37.32432476377558,1
2857.694,713.956,211.65500000000003,124.404,193.454,108.648,497.94,530.745,1542.481,1883.012,1673.8920000000005,1030.021,7.177576092015228,62.95162742695528,6.138683110820198,37.571408261256,1
2217.121,569.856,243.492,155.731,192.772,107.739,567.256,680.105,1595.128,2252.745,1890.251,1255.81,7.163327848463071,62.95029778274773,6.053881985592725,38.18759180100893,1
4389.475,1122.339,261.84000000000003,162.03,305.0,179.715,607.409,655.02,2165.064,2684.246,2426.788,1288.52,7.1895606430960814,62.87315174580344,6.124437147569136,37.03615721460238,1
2308.98,576.909,237.453,132.10899999999998,163.56,83.47999999999999,633.307,552.751,2068.34,2622.215,2457.129,1379.487,7.115903665313874,62.97481480310403,6.155341033785805,37.121433589197444,1
